Name,Colour
CAFAM0_bb13,#dadce0
CAFAM0_bb130,#dadce0
CAFAM0_bb1300,#dadce0
CAFAM0_bb1301,#dadce0
CAFAM0_bb1302,#dadce0
CAFAM0_bb1303,#dadce0
CAFAM0_bb1304,#dadce0
CAFAM0_bb1305,#dadce0
CAFAM0_bb1306,#dadce0
CAFAM0_bb1307,#dadce0
CAFAM0_bb1308,#dadce0
CAFAM0_bb1309,#dadce0
CAFAM0_bb131,#dadce0
CAFAM0_bb1310,#dadce0
CAFAM0_bb1311,#dadce0
CAFAM0_bb1312,#dadce0
CAFAM0_bb1313,#dadce0
CAFAM0_bb1314,#dadce0
CAFAM0_bb1315,#dadce0
CAFAM0_bb1316,#dadce0
CAFAM0_bb1317,#dadce0
CAFAM0_bb1318,#dadce0
CAFAM0_bb1319,#dadce0
CAFAM0_bb132,#dadce0
CAFAM0_bb1320,#dadce0
CAFAM0_bb1321,#dadce0
CAFAM0_bb1322,#dadce0
CAFAM0_bb1323,#dadce0
CAFAM0_bb1324,#dadce0
CAFAM0_bb1325,#dadce0
CAFAM0_bb1326,#dadce0
CAFAM0_bb1327,#dadce0
CAFAM0_bb1328,#dadce0
CAFAM0_bb1329,#dadce0
CAFAM0_bb133,#dadce0
CAFAM0_bb1330,#dadce0
CAFAM0_bb1331,#dadce0
CAFAM0_bb1332,#dadce0
CAFAM0_bb1333,#dadce0
CAFAM0_bb1334,#dadce0
CAFAM0_bb1335,#dadce0
CAFAM0_bb1336,#dadce0
CAFAM0_bb1337,#dadce0
CAFAM0_bb1338,#dadce0
CAFAM0_bb1339,#dadce0
CAFAM0_bb134,#dadce0
CAFAM0_bb1340,#dadce0
CAFAM0_bb1341,#dadce0
CAFAM0_bb1342,#dadce0
CAFAM0_bb1343,#dadce0
CAFAM0_bb1344,#dadce0
CAFAM0_bb1345,#dadce0
CAFAM0_bb1346,#dadce0
CAFAM0_bb1347,#dadce0
CAFAM0_bb1348,#dadce0
CAFAM0_bb1349,#dadce0
CAFAM0_bb135,#dadce0
CAFAM0_bb1350,#dadce0
CAFAM0_bb1351,#dadce0
CAFAM0_bb1352,#dadce0
CAFAM0_bb1353,#dadce0
