family_id	n_members	graph_score	core_cols	n_scored
FAM443	3	0.075	119	3
FAM444	3	0.346	867	3
FAM445	3	0.417	1400	3
FAM446	3	0.444	668	3
FAM447	3	0.365	938	3
FAM448	3	0.513	1266	3
FAM449	3	0.406	710	3
FAM450	3	0.573	2998	3
FAM451	3	0.909	848	3
FAM452	3	0.182	267	3
FAM453	3	0.176	523	3
FAM454	3	0.22	655	3
FAM455	3	0.118	191	3
FAM456	3	0.894	279	3
FAM457	3	0.146	438	3
FAM458	3	0.365	794	3
FAM459	3	0.327	926	3
FAM460	3	1.0	435	3
FAM461	3	0.464	288	3
FAM462	3	0.023	45	3
FAM463	3	0.04	77	3
FAM464	3	0.197	254	3
FAM465	3	0.043	70	3
FAM466	3	0.05	88	3
FAM467	3	0.33	270	3
FAM468	3	0.077	93	3
FAM469	3	0.142	343	3
FAM470	3	0.489	956	3
FAM471	3	0.53	697	3
FAM472	3	0.304	542	3
FAM473	3	0.038	133	3
FAM474	3	0.351	336	3
FAM475	3	0.204	899	3
FAM476	3	0.274	488	3
FAM477	3	0.283	488	3
FAM478	3	1.065	115	3
FAM479	3	0.313	640	3
FAM480	3	0.306	303	3
FAM481	3	0.274	397	3
FAM482	3	0.458	844	3
FAM483	3	0.203	909	3
FAM484	3	0.259	452	3
FAM485	3	0.193	846	3
FAM486	3	0.035	94	3
FAM487	3	0.047	53	3
FAM488	3	0.112	68	3
FAM489	3	0.781	550	3
FAM490	3	0.39	365	3
FAM491	3	0.254	239	3
FAM492	2	0.943	6905	2
FAM493	2	0.989	7769	2
FAM494	2	0.891	4945	2
FAM495	2	0.673	4550	2
FAM496	2	0.937	3959	2
FAM497	2	0.733	4011	2
FAM498	2	0.545	2826	2
FAM499	2	1.0	3405	2
FAM500	2	0.987	3575	2
FAM501	2	0.608	3171	2
FAM502	2	1.0	2888	2
FAM503	2	1.0	2789	2
FAM504	2	0.695	2589	2
FAM505	2	0.907	2415	2
FAM506	2	0.243	1995	2
FAM507	2	1.0	2067	2
FAM508	2	0.712	2096	2
FAM509	2	0.013	51	2
FAM510	2	0.639	1823	2
FAM511	2	0.822	1927	2
FAM512	2	0.465	1764	2
FAM513	2	0.122	632	2
FAM514	2	0.007	26	2
FAM515	2	0.998	1772	2
FAM517	2	0.259	1307	2
FAM518	2	0.594	1559	2
FAM519	2	0.731	1573	2
FAM520	2	0.558	1414	2
FAM521	2	0.991	1490	2
FAM522	2	0.998	1396	2
FAM523	2	0.943	1326	2
FAM524	2	0.442	1365	2
FAM525	2	0.998	1292	2
FAM526	2	0.27	1193	2
FAM527	2	0.444	1207	2
FAM528	2	0.172	736	2
FAM529	2	0.307	919	2
FAM530	2	0.28	1035	2
FAM531	2	0.413	821	2
FAM532	2	0.912	922	2
FAM533	2	0.437	954	2
FAM534	2	1.0	830	2
FAM535	2	0.564	789	2
FAM536	2	1.0	809	2
FAM537	2	0.008	24	2
FAM538	2	0.672	591	2
FAM539	2	0.222	734	2
FAM540	2	0.219	728	2
FAM541	2	0.103	366	2
FAM542	2	0.326	663	2
FAM543	2	0.257	595	2
FAM544	2	0.709	424	2
FAM545	2	0.14	532	2
FAM546	2	1.0	557	2
FAM547	2	0.147	1125	2
FAM548	2	1.0	474	2
FAM549	2	0.198	495	2
FAM550	2	0.97	469	2
FAM551	2	0.28	481	2
FAM552	2	0.158	507	2
FAM553	2	0.026	24	2
FAM554	2	0.294	371	2
FAM555	2	1.0	312	2
FAM556	2	0.072	213	2
FAM557	2	0.586	180	2
FAM558	2	0.098	113	2
FAM559	2	0.097	110	2
FAM560	2	0.308	111	2
FAM561	2	0.217	104	2
FAM562	2	0.103	107	2
FAM564	2	0.756	4463	2
FAM565	2	0.917	5238	2
FAM566	2	0.273	888	2
FAM567	2	0.706	2722	2
FAM568	2	0.526	1852	2
FAM569	2	0.661	1916	2
FAM570	2	1.0	1750	2
FAM571	2	0.852	1730	2
FAM572	2	0.473	1617	2
FAM573	2	0.383	1099	2
FAM574	2	0.285	1253	2
FAM575	2	1.0	1352	2
FAM576	2	0.134	1285	2
FAM577	2	0.427	967	2
FAM578	2	0.913	945	2
FAM579	2	0.483	961	2
FAM580	2	0.97	802	2
FAM581	2	1.0	5426	2
FAM582	2	0.145	1040	2
FAM583	2	0.01	35	2
FAM584	2	0.826	2003	2
FAM585	2	0.618	1534	2
FAM586	2	0.953	1859	2
FAM587	2	0.016	35	2
FAM588	2	0.596	1242	2
FAM589	2	0.149	1329	2
FAM590	2	0.395	1187	2
FAM591	2	0.356	626	2
FAM592	2	0.814	623	2
FAM593	2	1.0	510	2
FAM594	2	0.08	531	2
FAM595	2	0.211	434	2
FAM596	2	0.497	2420	2
FAM597	2	0.577	2456	2
FAM598	2	0.845	3531	2
FAM599	2	0.277	2324	2
FAM600	2	0.999	1818	2
FAM601	2	0.997	1194	2
FAM602	2	0.45	605	2
FAM603	2	0.193	916	2
FAM604	2	0.397	942	2
FAM605	2	0.622	604	2
FAM606	2	0.603	1908	2
FAM607	2	0.591	1383	2
FAM608	2	0.62	1403	2
FAM610	2	0.358	923	2
FAM611	2	0.265	844	2
FAM612	2	0.395	773	2
FAM613	2	0.605	1168	2
FAM614	2	0.852	1050	2
FAM615	2	0.394	912	2
FAM616	2	1.0	951	2
