# SECTION nodes (mult>=2)
node_id	multiplicity	n_genes	cyclic	is_repeat_m5	n_transcripts	softmask_frac
35515856	37	37	1	1	39	1.0
59957486	37	37	1	1	40	0.3958
65029000	37	37	1	1	39	1.0
78009937	37	37	1	1	43	1.0
84208512	37	37	1	1	42	1.0
85031536	37	37	1	1	39	1.0
97564884	37	37	1	1	43	1.0
97695958	37	37	1	1	37	1.0
14	36	36	0	1	42	1.0
131200	36	36	0	1	42	1.0
36762823	36	36	1	1	44	1.0
46102366	36	36	1	1	40	1.0
58964480	36	36	1	1	38	0.6939
85021296	36	36	1	1	39	1.0
85555824	36	36	0	1	43	1.0
150705273	36	36	0	1	38	1.0
174778577	36	36	0	1	41	1.0
175681186	36	36	0	1	42	1.0
47	35	35	0	1	40	1.0
2618692	35	35	1	1	38	0.4634
15548686	35	35	0	1	36	1.0
20219965	35	35	1	1	40	0.9623
35474896	35	35	1	1	40	1.0
43504913	35	35	1	1	38	0.0
50277060	35	35	1	1	36	1.0
62054638	35	35	1	1	37	0.4091
65527894	35	35	0	1	43	1.0
97398304	35	35	0	1	36	1.0
173581990	35	35	0	1	43	1.0
199051572	35	35	0	1	35	0.0
8224	34	34	0	1	36	1.0
4210752	34	34	0	1	35	1.0
7727732	34	34	0	1	39	1.0
8632896	34	34	1	1	42	0.9468
18014229	34	34	0	1	39	1.0
24483670	34	34	1	1	38	1.0
57139286	34	34	0	1	42	1.0
76089463	34	34	1	1	36	1.0
85545584	34	34	0	1	41	1.0
85547632	34	34	0	1	42	1.0
87419201	34	34	1	1	38	1.0
87804234	34	34	0	1	38	1.0
90559069	34	34	0	1	38	1.0
98947677	34	34	1	1	38	1.0
128057365	34	34	1	1	36	0.9767
173584038	34	34	0	1	39	1.0
2056	33	33	0	1	35	1.0
4096	33	33	0	1	41	1.0
62034	33	33	1	1	35	1.0
62042	33	33	0	1	35	1.0
8638750	33	33	1	1	35	0.7027
42187264	33	33	1	1	35	0.825
60610005	33	33	0	1	34	1.0
88461917	33	33	0	1	37	1.0
97672568	33	33	1	1	38	1.0
118659417	33	33	1	1	38	1.0
81989	32	32	0	1	34	1.0
524288	32	32	0	1	43	1.0
524800	32	32	0	1	36	1.0
992683	32	32	0	1	39	1.0
3970734	32	32	0	1	40	1.0
17707550	32	32	0	1	33	1.0
17895697	32	32	1	1	41	1.0
20594709	32	32	1	1	36	1.0
48728305	32	32	0	1	34	1.0
64167608	32	32	1	1	34	0.7313
75475109	32	32	1	1	36	1.0
76248183	32	32	0	1	35	1.0
82177077	32	32	0	1	35	1.0
90561117	32	32	0	1	35	1.0
98949725	32	32	0	1	34	1.0
121442505	32	32	0	1	34	1.0
132273314	32	32	1	1	37	1.0
175713829	32	32	1	1	38	1.0
44	31	31	1	1	36	1.0
52	31	31	0	1	40	1.0
262208	31	31	0	1	36	1.0
327958	31	31	0	1	33	1.0
1311833	31	31	0	1	33	1.0
15882939	31	31	0	1	39	1.0
17702980	31	31	0	1	32	1.0
21815532	31	31	1	1	32	0.6047
22864620	31	31	1	1	32	0.7222
29655134	31	31	0	1	31	0.0
44025107	31	31	1	1	34	0.0889
44033297	31	31	1	1	32	0.7021
76253303	31	31	0	1	36	1.0
98274789	31	31	0	1	33	1.0
126918117	31	31	0	1	33	1.0
175824257	31	31	1	1	35	1.0
182669649	31	31	0	1	34	1.0
223270340	31	31	1	1	33	1.0
248890378	31	31	1	1	33	1.0
36	30	30	0	1	35	1.0
65600	30	30	0	1	36	1.0
4989455	30	30	1	1	37	0.9688
5459828	30	30	0	1	31	1.0
8507678	30	30	1	1	30	0.7843
8632960	30	30	1	1	33	0.9556
12175932	30	30	1	1	31	1.0
12632256	30	30	1	1	36	1.0
41899087	30	30	1	1	32	0.85
44037393	30	30	1	1	32	0.0
46126355	30	30	1	1	32	0.325
46135122	30	30	1	1	32	0.8837
48703729	30	30	1	1	32	1.0
63531758	30	30	0	1	38	1.0
98957917	30	30	0	1	31	1.0
122452514	30	30	1	1	31	0.878
128065559	30	30	1	1	34	1.0
148444281	30	30	0	1	32	1.0
150574201	30	30	0	1	32	1.0
157431397	30	30	0	1	34	1.0
177137996	30	30	0	1	31	0.0
35	29	29	1	1	36	1.0
969	29	29	1	1	32	1.0
8200	29	29	0	1	31	1.0
65552	29	29	0	1	35	1.0
789516	29	29	0	1	34	1.0
932029	29	29	1	1	30	1.0
3728116	29	29	1	1	30	1.0
10482963	29	29	1	1	33	0.5385
